Disease_x,Specialist,Name
Heart attack,Cardiologist,"Dr. Jeffrey Wessler, MD, MPH"
Heart attack,Cardiologist,"Dr. Kenneth Giedd, MD"
Heart attack,Cardiologist,"Dr. Peter Virzi, MD"
Heart attack,Cardiologist,"Dr. Robert Kornberg, MD"
Heart attack,Cardiologist,"Dr. Shyam Amin, MD"
Heart attack,Cardiologist,"Dr. Shyam Amin, MD"
Heart attack,Cardiologist,"Dr. Edo Paz, MD"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Marc Rybstein, MD"
Heart attack,Cardiologist,"Dr. Pramod Sanghi, MD"
Heart attack,Cardiologist,"Dr. Krysthel Engstrom, MD"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Jeffrey Kohn, MD, FACC"
Heart attack,Cardiologist,"Dr. Mary Greene, MD"
Heart attack,Cardiologist,"Dr. Alexander Mauskop, MD, FACC"
Heart attack,Cardiologist,"Dr. Salvatore Cavaleri, MD"
Heart attack,Cardiologist,"Dr. Robert Segal, MD"
Heart attack,Cardiologist,"Dr. Alexander Mauskop, MD, FACC"
Heart attack,Cardiologist,"Dr. Gargi Bajpayee, MD"
Heart attack,Cardiologist,"Dr. Gargi Bajpayee, MD"
Heart attack,Cardiologist,"Dr. Mark Meyer, MD, FACC, FACP"
Heart attack,Cardiologist,"Dr. Amnon Beniaminovitz, MD, FACC"
Heart attack,Cardiologist,"Dr. Shyam Amin, MD"
Heart attack,Cardiologist,"Dr. Shyam Amin, MD"
Heart attack,Cardiologist,"Dr. Mark Seldon, MD, FACC"
Heart attack,Cardiologist,"Dr. Henry Wu, MD, FACC"
Heart attack,Cardiologist,"Dr. Ellen Mellow, MD"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Ellen Mellow, MD"
Heart attack,Cardiologist,"Dr. Abiola Dele-Michael, MD, FACC, MPH"
Heart attack,Cardiologist,"Dr. Nina Mirsakov, DO"
Heart attack,Cardiologist,"Dr. Jossef Amirian, MD, FACC"
Heart attack,Cardiologist,"Dr. Hugo Rosero, DO"
Heart attack,Cardiologist,"Dr. Hugo Rosero, DO"
Heart attack,Cardiologist,"Dr. Olena Dotsenko, MD"
Heart attack,Cardiologist,"Dr. Olena Dotsenko, MD"
Heart attack,Cardiologist,"Dr. Kiruthika Balasundaram, MD"
Heart attack,Cardiologist,"Dr. Shyam Amin, MD"
Heart attack,Cardiologist,"Dr. Shyam Amin, MD"
Heart attack,Cardiologist,"Dr. Timothy Jayasundera, MD, FACC"
Heart attack,Cardiologist,"Dr. Eugene Khait, MD"
